pair,threads,repeat,search_seconds,trials_a,trials_b
1_kilo,1,1,7.845013,61035,61035
1_kilo,1,2,7.844762,61035,61035
1_kilo,1,3,7.844894,61035,61035
1_kilo,2,1,3.921950,61008,61035
1_kilo,2,2,3.921940,61015,61035
1_kilo,2,3,3.922077,61020,61035
1_kilo,4,1,1.960476,61019,61035
1_kilo,4,2,1.960420,61019,61035
1_kilo,4,3,1.960822,61028,61035
1_kilo,8,1,0.982559,61035,61035
1_kilo,8,2,0.982803,61035,61034
1_kilo,8,3,0.981319,61032,61035
1_kilo,16,1,0.492345,61035,61032
1_kilo,16,2,0.491581,61030,61035
1_kilo,16,3,0.491575,61035,61031
1_kilo,24,1,0.329543,61035,61035
1_kilo,24,2,0.329517,61026,61035
1_kilo,24,3,0.329420,61035,61028
1_kilo,32,1,0.248357,61031,61035
1_kilo,32,2,0.248146,61034,61035
1_kilo,32,3,0.248871,61031,61035
1_kilo,48,1,0.166842,61035,61033
1_kilo,48,2,0.166805,61029,61035
1_kilo,48,3,0.167288,61035,61034
1_kilo,64,1,0.127238,61026,61035
1_kilo,64,2,0.128116,61028,61035
1_kilo,64,3,0.127781,61035,61032
1_kilo,96,1,0.089150,61023,61035
1_kilo,96,2,0.089467,61035,61035
1_kilo,96,3,0.089430,61035,61033
2_mega,1,1,7.838055,30517,30517
2_mega,1,2,7.837333,30517,30517
2_mega,1,3,7.837153,30517,30517
2_mega,2,1,3.917503,30506,30517
2_mega,2,2,3.917351,30505,30517
2_mega,2,3,3.918131,30508,30517
2_mega,4,1,1.958755,30509,30517
2_mega,4,2,1.959295,30510,30517
2_mega,4,3,1.958689,30510,30517
2_mega,8,1,0.981625,30517,30517
2_mega,8,2,0.981403,30517,30517
2_mega,8,3,0.981018,30517,30517
2_mega,16,1,0.491832,30509,30517
2_mega,16,2,0.491690,30515,30517
2_mega,16,3,0.491654,30516,30517
2_mega,24,1,0.328748,30517,30517
2_mega,24,2,0.328565,30514,30517
2_mega,24,3,0.328587,30517,30517
2_mega,32,1,0.247386,30517,30516
2_mega,32,2,0.247274,30517,30517
2_mega,32,3,0.247643,30517,30517
2_mega,48,1,0.166752,30511,30517
2_mega,48,2,0.167076,30511,30517
2_mega,48,3,0.167069,30517,30517
2_mega,64,1,0.126635,30513,30517
2_mega,64,2,0.127665,30517,30517
2_mega,64,3,0.126871,30513,30517
2_mega,96,1,0.088795,30509,30517
2_mega,96,2,0.088553,30517,30515
2_mega,96,3,0.088596,30511,30517
3_giga,1,1,8.986524,20000,20000
3_giga,1,2,8.987314,20000,20000
3_giga,1,3,8.986150,20000,20000
3_giga,2,1,4.491282,19992,20000
3_giga,2,2,4.491955,19995,20000
3_giga,2,3,4.491320,19993,20000
3_giga,4,1,2.245807,19996,20000
3_giga,4,2,2.246346,19998,20000
3_giga,4,3,2.245868,19995,20000
3_giga,8,1,1.124627,20000,20000
3_giga,8,2,1.124654,20000,20000
3_giga,8,3,1.124665,19998,20000
3_giga,16,1,0.563723,20000,20000
3_giga,16,2,0.563883,19998,20000
3_giga,16,3,0.563772,20000,20000
3_giga,24,1,0.377298,20000,20000
3_giga,24,2,0.377444,20000,19999
3_giga,24,3,0.377310,19998,20000
3_giga,32,1,0.284219,19997,20000
3_giga,32,2,0.284578,20000,20000
3_giga,32,3,0.284559,20000,20000
3_giga,48,1,0.193002,19996,20000
3_giga,48,2,0.192888,20000,19999
3_giga,48,3,0.192930,19877,20000
3_giga,64,1,0.148365,19998,20000
3_giga,64,2,0.148244,20000,19999
3_giga,64,3,0.148404,20000,20000
3_giga,96,1,0.105951,20000,19999
3_giga,96,2,0.105989,19998,20000
3_giga,96,3,0.106067,19999,20000
4_tera,1,1,13.478494,20000,20000
4_tera,1,2,13.478322,20000,20000
4_tera,1,3,13.477799,20000,20000
4_tera,2,1,6.735023,19992,20000
4_tera,2,2,6.737956,19995,20000
4_tera,2,3,6.735470,19993,20000
4_tera,4,1,3.367638,19995,20000
4_tera,4,2,3.368123,20000,19998
4_tera,4,3,3.367851,20000,19996
4_tera,8,1,1.685631,20000,19999
4_tera,8,2,1.685636,19999,20000
4_tera,8,3,1.685515,19997,20000
4_tera,16,1,0.844379,19997,20000
4_tera,16,2,0.844415,20000,20000
4_tera,16,3,0.844032,19996,20000
4_tera,24,1,0.564449,20000,19999
4_tera,24,2,0.564477,19999,20000
4_tera,24,3,0.564575,20000,20000
4_tera,32,1,0.425423,20000,20000
4_tera,32,2,0.425094,19998,20000
4_tera,32,3,0.424798,20000,19999
4_tera,48,1,0.286438,19996,20000
4_tera,48,2,0.286694,19999,20000
4_tera,48,3,0.286670,19998,20000
4_tera,64,1,0.219357,20000,19996
4_tera,64,2,0.219282,20000,19998
4_tera,64,3,0.219037,20000,20000
4_tera,96,1,0.154557,20000,19997
4_tera,96,2,0.154535,20000,19992
4_tera,96,3,0.154638,20000,19996
5_peta,1,1,19.256841,20000,20000
5_peta,1,2,19.257593,20000,20000
5_peta,1,3,19.265178,20000,20000
5_peta,2,1,9.622080,19992,20000
5_peta,2,2,9.621954,19996,20000
5_peta,2,3,9.622014,19995,20000
5_peta,4,1,4.810853,19996,20000
5_peta,4,2,4.811010,19998,20000
5_peta,4,3,4.810757,19997,20000
5_peta,8,1,2.406844,19998,20000
5_peta,8,2,2.406732,20000,19999
5_peta,8,3,2.406807,20000,19999
5_peta,16,1,1.205607,20000,20000
5_peta,16,2,1.205220,19999,20000
5_peta,16,3,1.205365,19998,20000
5_peta,24,1,0.805265,20000,19997
5_peta,24,2,0.805213,19995,20000
5_peta,24,3,0.804989,20000,19999
5_peta,32,1,0.606346,20000,20000
5_peta,32,2,0.606451,20000,20000
5_peta,32,3,0.606370,20000,19999
5_peta,48,1,0.407887,20000,19998
5_peta,48,2,0.407906,20000,20000
5_peta,48,3,0.408748,20000,19999
5_peta,64,1,0.310294,20000,20000
5_peta,64,2,0.310820,19996,20000
5_peta,64,3,0.310380,20000,19999
5_peta,96,1,0.215667,20000,20000
5_peta,96,2,0.215952,20000,20000
5_peta,96,3,0.215922,19998,20000
6_exa,1,1,36.104749,20000,20000
6_exa,1,2,36.103297,20000,20000
6_exa,1,3,36.104853,20000,20000
6_exa,2,1,18.045522,19995,20000
6_exa,2,2,18.045225,19995,20000
6_exa,2,3,18.048196,20000,20000
6_exa,4,1,9.022382,19997,20000
6_exa,4,2,9.022914,19997,20000
6_exa,4,3,9.023094,19996,20000
6_exa,8,1,4.513612,19998,20000
6_exa,8,2,4.513567,19998,20000
6_exa,8,3,4.512966,19996,20000
6_exa,16,1,2.259136,20000,20000
6_exa,16,2,2.259227,20000,20000
6_exa,16,3,2.259620,20000,20000
6_exa,24,1,1.508423,20000,20000
6_exa,24,2,1.507472,20000,19997
6_exa,24,3,1.508571,20000,20000
6_exa,32,1,1.134010,20000,20000
6_exa,32,2,1.133961,20000,19998
6_exa,32,3,1.134104,20000,19999
6_exa,48,1,0.760246,20000,20000
6_exa,48,2,0.760395,20000,20000
6_exa,48,3,0.761176,20000,19999
6_exa,64,1,0.575358,19996,20000
6_exa,64,2,0.575890,20000,20000
6_exa,64,3,0.576215,19997,20000
6_exa,96,1,0.395078,20000,19997
6_exa,96,2,0.395236,20000,19999
6_exa,96,3,0.395134,19996,20000
